pytorch-api,mindspore-api,confidence,changed
torch.abs,mindspore.ops.abs,high,N
torch.acos,mindspore.ops.acos,high,N
torch.acosh,mindspore.ops.acosh,high,N
torch.add,mindspore.ops.add,high,N
torch.addbmm,无对应实现,high,N
torch.addcdiv,mindspore.ops.addcdiv,high,N
torch.addcmul,mindspore.ops.addcmul,high,N
torch.addmm,mindspore.ops.addmm,high,N
torch.addmv,mindspore.ops.addmv,high,N
torch.addr,mindspore.ops.outer,high,Y
torch.allclose,mindspore.ops.allclose,high,Y
torch.amax,mindspore.ops.ReduceMax,high,N
torch.amin,mindspore.ops.reduce_min,high,N
torch.angle,mindspore.ops.angle,high,N
torch.arange,mindspore.ops.arange,high,N
torch.are_deterministic_algorithms_enabled,无对应实现,high,N
torch.argmax,mindspore.ops.argmax,high,N
torch.argmin,mindspore.ops.argmin,high,N
torch.argsort,mindspore.ops.argsort,high,N
torch.as_strided,无对应实现,high,N
torch.as_tensor,mindspore.Tensor,high,N
torch.asin,mindspore.ops.asin,high,N
torch.asinh,mindspore.ops.asinh,high,N
torch.atan,mindspore.ops.atan,high,N
torch.atan2,mindspore.ops.atan2,high,N
torch.atanh,mindspore.ops.atanh,high,N
torch.atleast_1d,mindspore.numpy.atleast_1d,high,N
torch.atleast_2d,mindspore.numpy.atleast_2d,high,N
torch.atleast_3d,mindspore.numpy.atleast_3d,high,N
torch.baddbmm,mindspore.ops.baddbmm,high,N
torch.bernoulli,mindspore.ops.bernoulli,high,N
torch.bincount,mindspore.ops.bincount,high,N
torch.bitwise_and,mindspore.ops.bitwise_and,high,N
torch.bitwise_not,mindspore.ops.bitwise_not,high,N
torch.bitwise_or,mindspore.ops.bitwise_or,high,N
torch.bitwise_xor,mindspore.ops.bitwise_xor,high,N
torch.block_diag,无对应实现,high,N
torch.bmm,mindspore.ops.matmul,high,Y
torch.broadcast_shapes,mindspore.numpy.broadcast_shapes,high,Y
torch.broadcast_tensors,mindspore.ops.broadcast_to,high,N
torch.bucketize,mindspore.ops.bucketize,high,N
torch.can_cast,无对应实现,high,N
torch.cartesian_prod,无对应实现,high,N
torch.cat,mindspore.ops.cat,high,N
torch.cdist,mindspore.ops.Cdist,high,N
torch.ceil,mindspore.ops.ceil,high,N
torch.chain_matmul,无对应实现,high,N
torch.cholesky_inverse,无对应实现,high,Y
torch.cholesky_solve,mindspore.ops.cholesky_solve,high,Y
torch.chunk,mindspore.ops.Split,high,N
torch.clamp,mindspore.ops.clip,high,N
torch.clone,mindspore.ops.copy,high,N
torch.combinations,无对应实现,high,N
torch.complex,mindspore.ops.complex,high,N
torch.conj,mindspore.ops.conj,high,N
torch.copysign,mindspore.ops.copysign,high,N
torch.cos,mindspore.ops.cos,high,N
torch.cosh,mindspore.ops.cosh,high,N
torch.count_nonzero,mindspore.ops.count_nonzero,high,N
torch.cross,mindspore.ops.cross,high,N
torch.cummax,mindspore.ops.cummax,high,N
torch.cummin,无对应实现,high,N
torch.cumprod,mindspore.ops.cumprod,high,N
torch.cumsum,mindspore.ops.cumsum,high,N
torch.deg2rad,mindspore.ops.deg2rad,high,N
torch.det,mindspore.ops.matrix_determinant,high,Y
torch.diag,mindspore.ops.diag,high,N
torch.diag_embed,mindspore.ops.diag_embed,high,N
torch.diagflat,mindspore.ops.diagflat,high,N
torch.diagonal,mindspore.numpy.diagonal,high,N
torch.digamma,mindspore.ops.digamma,high,N
torch.dist,mindspore.ops.norm,high,N
torch.div,mindspore.ops.div,high,N
torch.dot,mindspore.ops.reduce_sum,high,Y
torch.dstack,mindspore.ops.stack,high,N
torch.eig,mindspore.ops.Eigh,high,Y
torch.einsum,mindspore.ops.einsum,high,N
torch.empty,mindspore.ops.zeros_like,low,Y
torch.empty_like,mindspore.ops.fill,high,Y
torch.empty_strided,无对应实现,high,N
torch.eq,mindspore.ops.equal,high,N
torch.equal,mindspore.ops.eq,high,Y
torch.erf,mindspore.ops.erf,high,N
torch.erfc,mindspore.ops.erfc,high,N
torch.erfinv,mindspore.ops.erfinv,high,N
torch.exp,mindspore.ops.exp,high,N
torch.exp2,mindspore.ops.pow,high,N
torch.expm1,mindspore.ops.expm1,high,N
torch.eye,mindspore.ops.eye,high,N
torch.flatten,mindspore.ops.flatten,high,N
torch.flip,mindspore.ops.reverse,high,N
torch.fliplr,mindspore.ops.fliplr,high,N
torch.flipud,mindspore.ops.reverse,high,N
torch.float_power,mindspore.ops.pow,high,N
torch.floor,mindspore.ops.floor,high,N
torch.floor_divide,mindspore.ops.floor_divide,high,N
torch.fmax,mindspore.ops.fmax,high,N
torch.fmin,mindspore.ops.minimum,high,Y
torch.fmod,mindspore.ops.fmod,high,N
torch.frac,mindspore.ops.fractional,high,Y
torch.full,mindspore.ops.full,high,N
torch.full_like,mindspore.ops.full_like,high,N
torch.gather,mindspore.ops.gather,high,Y
torch.gcd,无对应实现,high,Y
torch.ge,mindspore.ops.greater_equal,high,N
torch.ger,mindspore.ops.outer,high,N
torch.get_rng_state,无对应实现,high,N
torch.gt,mindspore.ops.gt,high,N
torch.heaviside,mindspore.ops.heaviside,high,N
torch.histc,无对应实现,high,N
torch.hstack,mindspore.ops.concat,high,N
torch.hypot,mindspore.ops.hypot,high,N
torch.i0,无对应实现,high,N
torch.igamma,mindspore.ops.igamma,high,Y
torch.imag,mindspore.ops.imag,high,N
torch.index_select,mindspore.ops.gather,high,N
torch.inner,mindspore.ops.inner,high,N
torch.inverse,mindspore.ops.matrix_inverse,high,N
torch.is_nonzero,无对应实现,high,N
torch.is_tensor,mindspore.ops.is_tensor,high,N
torch.isclose,mindspore.ops.isclose,high,Y
torch.isfinite,mindspore.ops.isfinite,high,N
torch.isinf,mindspore.ops.isinf,high,N
torch.isnan,mindspore.ops.isnan,high,Y
torch.isneginf,mindspore.ops.isneginf,high,N
torch.isposinf,mindspore.ops.isposinf,high,Y
torch.isreal,mindspore.ops.isreal,high,N
torch.kron,mindspore.ops.kron,high,N
torch.kthvalue,mindspore.ops.top_k,high,Y
torch.lcm,mindspore.numpy.lcm,high,Y
torch.le,mindspore.ops.less_equal,high,N
torch.lerp,mindspore.ops.lerp,high,Y
torch.lgamma,mindspore.ops.lgamma,high,N
torch.linspace,mindspore.numpy.linspace,high,N
torch.log,mindspore.ops.log,high,N
torch.log10,mindspore.ops.log10,high,N
torch.log1p,mindspore.ops.log1p,high,N
torch.log2,mindspore.ops.log2,high,N
torch.logaddexp,mindspore.ops.logaddexp,high,N
torch.logaddexp2,无对应实现,high,N
torch.logcumsumexp,mindspore.ops.logcumsumexp,high,Y
torch.logdet,mindspore.ops.logdet,high,N
torch.logical_and,mindspore.ops.logical_and,high,N
torch.logical_not,mindspore.ops.logical_not,high,N
torch.logical_or,mindspore.ops.logical_or,high,N
torch.logical_xor,mindspore.ops.logical_xor,high,N
torch.logit,mindspore.ops.logit,high,N
torch.logspace,mindspore.numpy.logspace,high,N
torch.logsumexp,mindspore.ops.logsumexp,high,N
torch.lstsq,无对应实现,high,Y
torch.lt,mindspore.ops.less,high,N
torch.lu,mindspore.scipy.linalg.lu,high,Y
torch.lu_solve,无对应实现,high,Y
torch.masked_select,mindspore.ops.masked_select,high,N
torch.matmul,mindspore.ops.matmul,high,N
torch.matrix_exp,无对应实现,high,Y
torch.matrix_power,mindspore.numpy.linalg.matrix_power,high,Y
torch.matrix_rank,mindspore.ops.matrix_rank,high,Y
torch.max,mindspore.ops.ReduceMax,high,N
torch.maximum,mindspore.ops.maximum,high,N
torch.mean,mindspore.ops.ReduceMean,high,N
torch.median,mindspore.ops.median,high,N
torch.min,mindspore.ops.ReduceMin,high,Y
torch.minimum,mindspore.ops.minimum,high,N
torch.mm,mindspore.ops.matmul,high,N
torch.mode,无对应实现,high,N
torch.movedim,mindspore.ops.transpose,high,N
torch.msort,无对应实现,high,Y
torch.mul,mindspore.ops.mul,high,N
torch.multinomial,mindspore.ops.multinomial,high,N
torch.mv,mindspore.ops.mv,high,N
torch.mvlgamma,mindspore.ops.multigammaln,high,Y
torch.nanmedian,无对应实现,high,N
torch.nanquantile,mindspore.numpy.nanquantile,high,Y
torch.nansum,mindspore.ops.nansum,high,Y
torch.narrow,mindspore.ops.strided_slice,high,N
torch.ne,mindspore.ops.not_equal,high,N
torch.neg,mindspore.ops.neg,high,N
torch.nextafter,mindspore.numpy.nextafter,high,Y
torch.nn.AdaptiveAvgPool1d,mindspore.nn.AdaptiveAvgPool1d,high,N
torch.nn.AdaptiveAvgPool2d,mindspore.nn.AdaptiveAvgPool2d,high,N
torch.nn.AdaptiveAvgPool3d,mindspore.nn.AdaptiveAvgPool3d,high,N
torch.nn.AdaptiveMaxPool1d,mindspore.nn.AdaptiveMaxPool1d,high,N
torch.nn.AdaptiveMaxPool2d,mindspore.nn.AdaptiveMaxPool2d,high,N
torch.nn.AdaptiveMaxPool3d,mindspore.nn.AdaptiveMaxPool3d,high,N
torch.nn.AlphaDropout,无对应实现,high,N
torch.nn.AvgPool1d,mindspore.nn.AvgPool1d,high,N
torch.nn.AvgPool2d,mindspore.nn.AvgPool2d,high,N
torch.nn.AvgPool3d,mindspore.nn.AvgPool3d,high,N
torch.nn.BCELoss,mindspore.nn.BCELoss,high,N
torch.nn.BCEWithLogitsLoss,mindspore.nn.BCEWithLogitsLoss,high,N
torch.nn.BatchNorm1d,mindspore.nn.BatchNorm1d,high,N
torch.nn.BatchNorm2d,mindspore.nn.BatchNorm2d,high,N
torch.nn.BatchNorm3d,mindspore.nn.BatchNorm3d,high,N
torch.nn.Bilinear,无对应实现,high,N
torch.nn.CELU,mindspore.nn.CELU,high,N
torch.nn.CTCLoss,mindspore.nn.CTCLoss,high,Y
torch.nn.ConstantPad1d,mindspore.nn.Pad,high,N
torch.nn.ConstantPad2d,mindspore.nn.Pad,high,N
torch.nn.ConstantPad3d,mindspore.nn.Pad,high,N
torch.nn.Conv1d,mindspore.nn.Conv1d,high,N
torch.nn.Conv2d,mindspore.nn.Conv2d,high,N
torch.nn.Conv3d,mindspore.nn.Conv3d,high,N
torch.nn.ConvTranspose2d,mindspore.nn.Conv2dTranspose,high,N
torch.nn.ConvTranspose3d,mindspore.nn.Conv3dTranspose,high,N
torch.nn.CosineSimilarity,mindspore.ops.CosineSimilarity,high,Y
torch.nn.CrossEntropyLoss,mindspore.nn.CrossEntropyLoss,high,N
torch.nn.Dropout,mindspore.nn.Dropout,high,N
torch.nn.Dropout2d,mindspore.nn.Dropout2d,high,N
torch.nn.Dropout3d,无对应实现,high,Y
torch.nn.ELU,mindspore.nn.ELU,high,N
torch.nn.Embedding,mindspore.nn.Embedding,high,N
torch.nn.Flatten,mindspore.nn.Flatten,high,N
torch.nn.Fold,mindspore.ops.Fold,high,Y
torch.nn.FractionalMaxPool2d,无对应实现,high,N
torch.nn.GELU,mindspore.nn.GELU,high,N
torch.nn.GRU,mindspore.nn.GRU,high,N
torch.nn.GRUCell,mindspore.nn.GRUCell,high,N
torch.nn.GroupNorm,mindspore.nn.GroupNorm,high,N
torch.nn.Hardshrink,mindspore.ops.hardshrink,high,Y
torch.nn.Hardsigmoid,mindspore.nn.HardSigmoid,high,Y
torch.nn.Hardswish,mindspore.nn.Hardswish,high,N
torch.nn.Hardtanh,mindspore.nn.Hardtanh,high,N
torch.nn.Identity,mindspore.nn.Identity,high,N
torch.nn.InstanceNorm1d,mindspore.nn.InstanceNorm1d,high,N
torch.nn.InstanceNorm2d,mindspore.nn.InstanceNorm2d,high,N
torch.nn.InstanceNorm3d,mindspore.nn.InstanceNorm3d,high,N
torch.nn.L1Loss,mindspore.nn.L1Loss,high,N
torch.nn.LPPool1d,无对应实现,high,N
torch.nn.LPPool2d,无对应实现,high,N
torch.nn.LSTM,mindspore.nn.LSTM,high,N
torch.nn.LSTMCell,mindspore.nn.LSTMCell,high,N
torch.nn.LayerNorm,mindspore.nn.LayerNorm,high,N
torch.nn.LeakyReLU,mindspore.nn.LeakyReLU,high,N
torch.nn.Linear,mindspore.nn.Dense,high,N
torch.nn.LocalResponseNorm,mindspore.nn.LocalResponseNorm,high,Y
torch.nn.LogSigmoid,mindspore.nn.LogSigmoid,high,N
torch.nn.LogSoftmax,mindspore.nn.LogSoftmax,high,N
torch.nn.MSELoss,mindspore.nn.MSELoss,high,N
torch.nn.MarginRankingLoss,无对应实现,high,N
torch.nn.MaxPool1d,mindspore.nn.MaxPool1d,high,N
torch.nn.MaxPool2d,mindspore.nn.MaxPool2d,high,N
torch.nn.MaxPool3d,mindspore.nn.MaxPool3d,high,N
torch.nn.MaxUnpool1d,无对应实现,high,N
torch.nn.MaxUnpool2d,mindspore.nn.MaxUnpool2d,high,Y
torch.nn.MaxUnpool3d,无对应实现,high,N
torch.nn.MultiLabelMarginLoss,无对应实现,high,N
torch.nn.MultiLabelSoftMarginLoss,无对应实现,high,N
torch.nn.MultiheadAttention,mindspore.nn.MultiheadAttention,high,N
torch.nn.NLLLoss,mindspore.nn.NLLLoss,high,N
torch.nn.PReLU,mindspore.nn.PReLU,high,N
torch.nn.PairwiseDistance,mindspore.ops.PairwiseDistance,high,Y
torch.nn.PixelShuffle,mindspore.nn.PixelShuffle,high,N
torch.nn.PoissonNLLLoss,无对应实现,high,N
torch.nn.RNN,mindspore.nn.RNN,high,N
torch.nn.RNNBase,无对应实现,high,N
torch.nn.RNNCell,mindspore.nn.RNNCell,high,N
torch.nn.RReLU,无对应实现,high,N
torch.nn.ReLU,mindspore.nn.ReLU,high,N
torch.nn.ReLU6,mindspore.nn.ReLU6,high,N
torch.nn.ReflectionPad1d,mindspore.nn.Pad,high,N
torch.nn.ReflectionPad2d,mindspore.nn.ReflectionPad2d,high,N
torch.nn.ReplicationPad1d,mindspore.nn.Pad,high,N
torch.nn.ReplicationPad2d,mindspore.nn.Pad,high,N
torch.nn.ReplicationPad3d,mindspore.nn.Pad,high,N
torch.nn.SELU,mindspore.nn.SiLU,low,Y
torch.nn.SiLU,mindspore.nn.SiLU,high,N
torch.nn.Sigmoid,mindspore.nn.Sigmoid,high,N
torch.nn.Softmax,mindspore.nn.Softmax,high,N
torch.nn.Softmax2d,mindspore.nn.Softmax,high,Y
torch.nn.Softmin,mindspore.ops.Softmin,high,Y
torch.nn.Softplus,mindspore.nn.Softplus,high,N
torch.nn.Softshrink,mindspore.nn.SoftShrink,high,Y
torch.nn.Softsign,mindspore.nn.Softsign,high,N
torch.nn.Tanh,mindspore.nn.Tanh,high,N
torch.nn.Tanhshrink,mindspore.nn.Tanhshrink,high,Y
torch.nn.Threshold,mindspore.nn.Threshold,high,N
torch.nn.TransformerDecoderLayer,mindspore.nn.TransformerDecoderLayer,high,N
torch.nn.TransformerEncoderLayer,mindspore.nn.TransformerEncoderLayer,high,N
torch.nn.TripletMarginLoss,mindspore.nn.TripletMarginLoss,high,Y
torch.nn.Upsample,mindspore.nn.ResizeNearestNeighbor,high,Y
torch.nn.UpsamplingBilinear2d,mindspore.nn.ResizeNearestNeighbor,low,Y
torch.nn.UpsamplingNearest2d,mindspore.nn.ResizeNearestNeighbor,high,Y
torch.nn.ZeroPad2d,mindspore.nn.Pad,high,N
torch.nn.functional.adaptive_avg_pool1d,mindspore.nn.AdaptiveAvgPool1d,high,Y
torch.nn.functional.adaptive_avg_pool2d,mindspore.ops.AdaptiveAvgPool2D,high,N
torch.nn.functional.adaptive_avg_pool3d,mindspore.ops.AdaptiveAvgPool3D,high,N
torch.nn.functional.adaptive_max_pool1d,mindspore.nn.AdaptiveMaxPool1d,high,Y
torch.nn.functional.adaptive_max_pool2d,mindspore.nn.AdaptiveMaxPool2d,high,Y
torch.nn.functional.adaptive_max_pool3d,mindspore.nn.AdaptiveMaxPool3d,high,Y
torch.nn.functional.alpha_dropout,无对应实现,high,N
torch.nn.functional.avg_pool1d,mindspore.ops.avg_pool1d,high,N
torch.nn.functional.avg_pool2d,mindspore.ops.avg_pool2d,high,N
torch.nn.functional.avg_pool3d,mindspore.ops.avg_pool3d,high,N
torch.nn.functional.batch_norm,mindspore.ops.batch_norm,high,N
torch.nn.functional.bilinear,无对应实现,high,N
torch.nn.functional.binary_cross_entropy,mindspore.nn.BCELoss,high,N
torch.nn.functional.binary_cross_entropy_with_logits,mindspore.nn.BCEWithLogitsLoss,high,N
torch.nn.functional.celu,mindspore.ops.celu,high,N
torch.nn.functional.conv1d,mindspore.ops.Conv1D,high,N
torch.nn.functional.conv2d,mindspore.ops.conv2d,high,N
torch.nn.functional.conv3d,mindspore.ops.conv3d,high,N
torch.nn.functional.conv_transpose2d,mindspore.ops.Conv2DTranspose,high,N
torch.nn.functional.conv_transpose3d,mindspore.ops.Conv3DTranspose,high,N
torch.nn.functional.cosine_similarity,mindspore.ops.cosine_similarity,high,N
torch.nn.functional.cross_entropy,mindspore.nn.CrossEntropyLoss,high,N
torch.nn.functional.ctc_loss,mindspore.nn.CTCLoss,high,Y
torch.nn.functional.dropout,mindspore.ops.Dropout,high,N
torch.nn.functional.dropout2d,mindspore.nn.Dropout2d,high,N
torch.nn.functional.dropout3d,mindspore.nn.Dropout3D,high,Y
torch.nn.functional.elu,mindspore.ops.ELU,high,N
torch.nn.functional.elu_,mindspore.ops.ELU,high,N
torch.nn.functional.embedding,mindspore.ops.gather,high,N
torch.nn.functional.embedding_bag,mindspore.ops.EmbeddingBag,high,N
torch.nn.functional.fold,mindspore.ops.fold,high,Y
torch.nn.functional.gelu,mindspore.ops.gelu,high,Y
torch.nn.functional.hardshrink,mindspore.ops.hardshrink,high,N
torch.nn.functional.hardsigmoid,mindspore.ops.hardsigmoid,high,N
torch.nn.functional.hardswish,mindspore.ops.hardswish,high,N
torch.nn.functional.hardtanh,mindspore.ops.hardtanh,high,N
torch.nn.functional.instance_norm,mindspore.nn.InstanceNorm1d,high,Y
torch.nn.functional.interpolate,mindspore.ops.interpolate,high,N
torch.nn.functional.l1_loss,mindspore.nn.L1Loss,high,N
torch.nn.functional.layer_norm,mindspore.ops.layer_norm,high,N
torch.nn.functional.leaky_relu,mindspore.ops.leaky_relu,high,Y
torch.nn.functional.leaky_relu_,mindspore.ops.leaky_relu,high,N
torch.nn.functional.linear,mindspore.ops.dense,high,Y
torch.nn.functional.local_response_norm,无对应实现,high,N
torch.nn.functional.log_softmax,mindspore.ops.log_softmax,high,N
torch.nn.functional.logsigmoid,mindspore.ops.log_sigmoid,high,N
torch.nn.functional.lp_pool1d,无对应实现,high,N
torch.nn.functional.lp_pool2d,无对应实现,high,N
torch.nn.functional.margin_ranking_loss,无对应实现,high,N
torch.nn.functional.max_pool1d,mindspore.ops.MaxPool1D,high,N
torch.nn.functional.max_pool2d,mindspore.ops.MaxPool,high,N
torch.nn.functional.max_pool3d,mindspore.ops.MaxPool3D,high,N
torch.nn.functional.max_unpool1d,无对应实现,high,N
torch.nn.functional.max_unpool2d,无对应实现,high,N
torch.nn.functional.max_unpool3d,无对应实现,high,N
torch.nn.functional.mse_loss,mindspore.nn.MSELoss,high,N
torch.nn.functional.multilabel_margin_loss,无对应实现,high,N
torch.nn.functional.multilabel_soft_margin_loss,无对应实现,high,N
torch.nn.functional.nll_loss,mindspore.nn.NLLLoss,high,N
torch.nn.functional.normalize,mindspore.ops.L2Normalize,high,N
torch.nn.functional.pad,mindspore.ops.Pad,high,N
torch.nn.functional.pairwise_distance,mindspore.ops.PairwiseDistance,high,N
torch.nn.functional.pixel_shuffle,mindspore.ops.DepthToSpace,high,N
torch.nn.functional.poisson_nll_loss,无对应实现,high,N
torch.nn.functional.prelu,mindspore.ops.PReLU,high,N
torch.nn.functional.relu,mindspore.ops.relu,high,N
torch.nn.functional.rrelu,无对应实现,high,N
torch.nn.functional.rrelu_,无对应实现,high,N
torch.nn.functional.selu,mindspore.ops.selu,high,N
torch.nn.functional.sigmoid,mindspore.ops.sigmoid,high,N
torch.nn.functional.silu,mindspore.ops.silu,high,N
torch.nn.functional.softmax,mindspore.ops.Softmax,high,N
torch.nn.functional.softmin,mindspore.ops.softmin,high,N
torch.nn.functional.softplus,mindspore.ops.softplus,high,N
torch.nn.functional.softshrink,mindspore.ops.SoftShrink,high,Y
torch.nn.functional.softsign,mindspore.ops.softsign,high,N
torch.nn.functional.tanh,mindspore.ops.tanh,high,N
torch.nn.functional.tanhshrink,无对应实现,high,N
torch.nn.functional.threshold,mindspore.ops.threshold,high,N
torch.nn.functional.triplet_margin_loss,mindspore.nn.TripletMarginLoss,high,N
torch.nn.utils.clip_grad_norm_,mindspore.ops.clip_by_norm,high,N
torch.nn.utils.rnn.pad_sequence,无对应实现,high,N
torch.nonzero,mindspore.ops.nonzero,high,N
torch.norm,mindspore.ops.LpNorm,high,Y
torch.normal,mindspore.ops.normal,high,N
torch.numel,mindspore.ops.size,high,N
torch.ones,mindspore.ops.ones,high,N
torch.ones_like,mindspore.ops.ones_like,high,N
torch.outer,mindspore.ops.outer,high,N
torch.pinverse,mindspore.ops.pinv,high,N
torch.poisson,无对应实现,high,N
torch.polar,mindspore.ops.polar,high,N
torch.polygamma,无对应实现,high,N
torch.pow,mindspore.ops.pow,high,N
torch.prod,mindspore.ops.prod,high,N
torch.promote_types,mindspore.numpy.promote_types,high,Y
torch.qr,mindspore.ops.qr,high,N
torch.quantile,无对应实现,high,Y
torch.rad2deg,mindspore.numpy.rad2deg,high,N
torch.rand,mindspore.ops.uniform,high,N
torch.rand_like,mindspore.ops.uniform,medium,N
torch.randint,mindspore.ops.uniform,medium,N
torch.randn,mindspore.ops.standard_normal,high,N
torch.randn_like,mindspore.ops.normal,high,Y
torch.randperm,mindspore.ops.randperm,high,Y
torch.range,mindspore.ops.Range,high,Y
torch.ravel,mindspore.ops.ravel,high,N
torch.real,mindspore.ops.real,high,N
torch.reciprocal,mindspore.ops.reciprocal,high,N
torch.remainder,mindspore.ops.remainder,high,N
torch.renorm,无对应实现,high,N
torch.repeat_interleave,mindspore.ops.repeat_interleave,high,N
torch.reshape,mindspore.ops.reshape,high,N
torch.result_type,mindspore.numpy.result_type,high,Y
torch.roll,mindspore.ops.roll,high,N
torch.rot90,mindspore.numpy.rot90,high,N
torch.round,mindspore.ops.round,high,N
torch.rsqrt,mindspore.ops.rsqrt,high,N
torch.save,mindspore.save_checkpoint,high,Y
torch.scatter,mindspore.ops.tensor_scatter_elements,high,Y
torch.scatter_add,mindspore.ops.tensor_scatter_add,high,N
torch.searchsorted,mindspore.ops.searchsorted,high,N
torch.set_default_dtype,无对应实现,high,N
torch.set_flush_denormal,无对应实现,high,N
torch.set_num_threads,mindspore.set_context,high,Y
torch.sgn,无对应实现,high,Y
torch.sigmoid,mindspore.ops.sigmoid,high,N
torch.sign,mindspore.ops.sign,high,N
torch.signbit,无对应实现,high,Y
torch.sin,mindspore.ops.sin,high,N
torch.sinh,mindspore.ops.sinh,high,N
torch.slogdet,mindspore.ops.slogdet,high,N
torch.solve,mindspore.ops.matrix_solve,high,Y
torch.sort,mindspore.ops.Sort,high,N
torch.sparse_coo_tensor,无对应实现,high,N
torch.split,mindspore.ops.split,high,Y
torch.sqrt,mindspore.ops.sqrt,high,N
torch.square,mindspore.ops.square,high,N
torch.squeeze,mindspore.ops.squeeze,high,N
torch.stack,mindspore.ops.stack,high,N
torch.std,mindspore.ops.std,high,N
torch.std_mean,无对应实现,high,N
torch.sub,mindspore.ops.sub,high,N
torch.sum,mindspore.ops.ReduceSum,high,Y
torch.svd,mindspore.ops.svd,high,N
torch.swapaxes,mindspore.ops.transpose,high,N
torch.swapdims,mindspore.ops.transpose,high,N
torch.symeig,mindspore.ops.Eigh,high,N
torch.t,mindspore.ops.transpose,high,N
torch.take,mindspore.ops.gather,high,Y
torch.tan,mindspore.ops.tan,high,N
torch.tanh,mindspore.ops.tanh,high,N
torch.tensor_split,mindspore.numpy.array_split,high,N
torch.tensordot,mindspore.ops.einsum,high,Y
torch.topk,mindspore.ops.TopK,high,Y
torch.trace,mindspore.ops.trace,high,N
torch.transpose,mindspore.ops.transpose,high,N
torch.trapz,无对应实现,high,N
torch.triangular_solve,mindspore.ops.triangular_solve,high,Y
torch.tril,mindspore.ops.tril,high,N
torch.tril_indices,mindspore.numpy.tril_indices,high,Y
torch.triu,mindspore.ops.triu,high,N
torch.triu_indices,mindspore.numpy.triu_indices,high,Y
torch.true_divide,mindspore.ops.div,high,N
torch.trunc,mindspore.ops.trunc,high,N
torch.unbind,mindspore.ops.unbind,high,N
torch.unique,mindspore.ops.unique,medium,N
torch.unique_consecutive,mindspore.ops.unique_consecutive,high,Y
torch.unsqueeze,mindspore.ops.expand_dims,high,N
torch.use_deterministic_algorithms,无对应实现,high,N
torch.vander,无对应实现,high,N
torch.var,mindspore.ops.var,high,N
torch.var_mean,无对应实现,high,Y
torch.vdot,mindspore.ops.dot,high,Y
torch.view_as_complex,mindspore.ops.complex,high,N
torch.view_as_real,mindspore.ops.view_as_real,high,N
torch.vstack,mindspore.ops.concat,high,N
torch.where,mindspore.ops.select,high,N
torch.xlogy,mindspore.ops.xlogy,high,N
torch.zeros,mindspore.ops.zeros,high,N
torch.zeros_like,mindspore.ops.zeros_like,high,N
